,SoSciCondition,participantID,condition,Text_SoSci,color,sentence_x,answer,Text_x,Position,sentence_y,confidence,sentence_x,reading_time,sentence_y,truthvalue,Text_y,read,correctAnswer
180,3,91943,control,1,6,T108_05,1,1,5,T110_05,6.0,T111_05a,2899.0,TC04x05,true,TC04,1,1
181,2,1051,high,1,3,T108_05,0,1,5,T110_05,1.0,T111_05a,1952.0,TC04x05,true,TC04,1,0
182,1,46667,low,1,2,T108_05,1,1,5,T110_05,5.0,T111_05a,8842.0,TC04x05,true,TC04,1,1
183,3,2274,control,1,7,T108_05,1,1,5,T110_05,4.0,T111_05a,1762.0,TC04x05,false,TC04,1,1
184,1,42927,low,1,2,T108_05,0,1,5,T110_05,3.0,T111_05a,3589.0,TC04x05,false,TC04,1,0
185,1,9902,low,1,1,T108_05,0,1,5,T110_05,6.0,T111_05a,3360.0,TC04x05,true,TC04,1,0
186,3,68993,control,1,7,T108_05,1,1,5,T110_05,6.0,T111_05a,2464.0,TC04x05,false,TC04,1,1
187,1,73912,low,1,2,T108_05,1,1,5,T110_05,6.0,T111_05a,7377.0,TC04x05,true,TC04,1,1
188,1,38511,low,1,2,T108_05,0,1,5,T110_05,6.0,T111_05a,3374.0,TC04x05,true,TC04,1,0
189,2,85387,high,1,3,T108_05,1,1,5,T110_05,6.0,T111_05a,6689.0,TC04x05,true,TC04,1,1
190,2,36995,high,1,4,T108_05,0,1,5,T110_05,5.0,T111_05a,2481.0,TC04x05,true,TC04,1,0
191,2,91036,high,1,3,T108_05,1,1,5,T110_05,6.0,T111_05a,2216.0,TC04x05,false,TC04,1,1
192,3,68330,control,1,7,T108_05,1,1,5,T110_05,6.0,T111_05a,927.0,TC04x05,false,TC04,1,1
193,1,9170,low,1,2,T108_05,0,1,5,T110_05,3.0,T111_05a,2535.0,TC04x05,false,TC04,1,0
194,2,3062,high,1,4,T108_05,1,1,5,T110_05,5.0,T111_05a,1187.0,TC04x05,true,TC04,1,1
195,2,82248,high,1,3,T108_05,0,1,5,T110_05,1.0,T111_05a,2595.0,TC04x05,true,TC04,1,0
196,1,88704,low,1,2,T108_05,0,1,5,T110_05,3.0,T111_05a,682.0,TC04x05,false,TC04,1,0
197,3,54993,control,1,6,T108_05,1,1,5,T110_05,6.0,T111_05a,4609.0,TC04x05,true,TC04,1,1
198,1,50213,low,1,2,T108_05,1,1,5,T110_05,6.0,T111_05a,1535.0,TC04x05,false,TC04,1,1
199,3,19356,control,1,7,T108_05,1,1,5,T110_05,6.0,T111_05a,4129.0,TC04x05,false,TC04,1,1
200,1,84379,low,1,1,T108_05,1,1,5,T110_05,5.0,T111_05a,1840.0,TC04x05,true,TC04,1,1
201,3,98005,control,1,7,T108_05,1,1,5,T110_05,4.0,T111_05a,4558.0,TC04x05,false,TC04,1,1
